Process,ActUnit,CapUnit
TCLPG01,Bv-km,000V
TCLPG00,Bv-km,000V
TCHBPET01,Bv-km,000V
TCHBPET00,Bv-km,000V
TCHBHYL01,Bv-km,000V
TCHBDST01,Bv-km,000V
TCFCPHBHYG01,Bv-km,000V
TCFCHYG01,Bv-km,000V
TCFCHBHYG01,Bv-km,000V
TCELC01,Bv-km,000V
TCE8501,Bv-km,000V
TCDST01,Bv-km,000V
TCDST00,Bv-km,000V
TCCNG01,Bv-km,000V
TBHBDST01,Bv-km,000V
TBFCHBHYG01,Bv-km,000V
TBELC01,Bv-km,000V
TBDST01,Bv-km,000V
TBDST00,Bv-km,000V
TBCNG01,Bv-km,000V
TAIJETN01,PJ,PJ_a
TAIJETN00,PJ,PJ_a
TAIJETE01,PJ,PJ_a
TAIJETE00,PJ,PJ_a
TAIHYLN01,PJ,PJ_a
TAIHYLE01,PJ,PJ_a
TADJETN01,Bpkm,Bpkm_a
TADJETN00,Bp-km,Bp-km_a
TADJETE01,Bpkm,Bpkm_a
TADJETE00,Bp-km,Bp-km_a
TADHYLN01,Bpkm,Bpkm_a
TADHYLE01,Bpkm,Bpkm_a
SWLWHTRG01,PJ,PJ_a
SWLWHTRG00,PJ,PJ_a
SWLWHTRE01,PJ,PJ_a
SWLWHTRE00,PJ,PJ_a
SWLDSTD01,PJ,PJ_a
SWLDSTD00,PJ,PJ_a
SWHWHTRE01,PJ,PJ_a
SWHWHTRE00,PJ,PJ_a
SWHDSTD01,PJ,PJ_a
SWHDSTD00,PJ,PJ_a
SWHDPIP01,PJ,PJ_a
SWHDPIP00,PJ,PJ_a
SWHBLRRW01,PJ,PJ_a
SWHBLRRW00,PJ,PJ_a
SWHBLRRO01,PJ,PJ_a
SWHBLRRO00,PJ,PJ_a
SWHBLRRH01,PJ,PJ_a
SWHBLRRG01,PJ,PJ_a
SWHBLRRG00,PJ,PJ_a
SWHBLRRC01,PJ,PJ_a
SWHBLRRC00,PJ,PJ_a
SSERVPHYG01,PJ,PJ_a
SSERVPGAS01,PJ,PJ_a
SSERVPGAS00,PJ,PJ_a
SREFEHFO01,PJ,PJ_a
SREFEHFO00,PJ,PJ_a
SREFEHFC01,PJ,PJ_a
SREFEHFC00,PJ,PJ_a
SOTHNGA01,PJ,PJ_a
SOTHNGA00,PJ,PJ_a
SOTHELC01,PJ,PJ_a
SOTHELC00,PJ,PJ_a
SMETERELC01,PJ,GW
