Process,ActUnit,CapUnit
MINCOA6,PJ,PJ_a
MINCOA5,PJ,PJ_a
MINCOA4,PJ,PJ_a
MINCOA3,PJ,PJ_a
MINCOA2,PJ,PJ_a
MINCOA1,PJ,PJ_a
MINCMLST,Mt,Mt_a
MINBWODWST,PJ,PJ_a
MINBWODLOG,PJ,PJ_a
MINBWOD4,PJ,PJ_a
MINBWOD3,PJ,PJ_a
MINBWOD2,PJ,PJ_a
MINBWOD1,PJ,PJ_a
MINBWHT3,PJ,PJ_a
MINBWHT2,PJ,PJ_a
MINBWHT1,PJ,PJ_a
MINBVOFAT,PJ,PJ_a
MINBSUGAR,PJ,PJ_a
MINBSTWWST1,PJ,PJ_a
MINBSLURRY1,PJ,PJ_a
MINBSEWSLG,PJ,PJ_a
MINBRSEED,PJ,PJ_a
MINBPOLWST1,PJ,PJ_a
MINBOG-SW,PJ,PJ_a
MINBOG-LF,PJ,PJ_a
MINBGRASS3,PJ,PJ_a
MINBGRASS2,PJ,PJ_a
MINBGRASS1,PJ,PJ_a
IPPPRSIMP01,Mt,Mt_a
IPPPROPRS01,Mt,Mt_a
IPPPROPRS00,Mt,Mt_a
IPPPROOTH01,Mt,Mt_a
IPPPROOTH00,Mt,Mt_a
IPPPRODSF01,Mt,Mt_a
IPPPRODRY04,Mt,Mt_a
IPPPRODRY03,Mt,Mt_a
IPPPRODRY02,Mt,Mt_a
IPPPRODRY01,Mt,Mt_a
IPPPRODRY00,Mt,Mt_a
IPPOTHIMP02,Mt,Mt_a
IPPOTHIMP01,Mt,Mt_a
IPPFINPRO01,Mt,Mt_a
IPPFINPRO00,Mt,Mt_a
IPPDRYIMP6,Mt,Mt_a
IPPDRYIMP5,Mt,Mt_a
IPPDRYIMP4,Mt,Mt_a
IPPDRYIMP3,Mt,Mt_a
IPPDRYIMP2,Mt,Mt_a
IPPDRYIMP1,Mt,Mt_a
IPPCHPWST01,PJ,GW
IPPCHPWST00,PJ,GW
IPPCHPNGA00,PJ,GW
IPPCHPGT01,PJ,GW
IPPCHPFCH01,PJ,GW
IPPCHPCOA01,PJ,GW
IPPCHPCOA00,PJ,GW
IPPCHPCCGTH01,PJ,GW
IPPCHPCCGT01,PJ,GW
IPPCHPBIOS01,PJ,GW
IPPCHPBIOS00,PJ,GW
IPPCHPBIOG01,PJ,GW
IPPBOINGA01,PJ,PJ_a
IPPBOINGA00,PJ,PJ_a
IPPBOIHYG01,PJ,PJ_a
IPPBOICOA01,PJ,PJ_a
IPPBOICOA00,PJ,PJ_a
IPPBOIBIO01,PJ,PJ_a
IPPALLPRS01,PJ,PJ_a
IPPALLPRS00,PJ,PJ_a
IPPALLOTH01,PJ,PJ_a
IPPALLOTH00,PJ,PJ_a
IPPALLDRY01,PJ,PJ_a
IPPALLDRY00,PJ,PJ_a
IOIREFEHFO01,PJ,PJ_a
IOIREFEHFC01,PJ,PJ_a
IOIREFEHFC00,PJ,PJ_a
IOIOTHSTM01,PJ,PJ_a
IOIOTHSTM00,PJ,PJ_a
IOIOTHNGA01,PJ,PJ_a
IOIOTHNGA00,PJ,PJ_a
IOIOTHLPG01,PJ,PJ_a
IOIOTHLPG00,PJ,PJ_a
IOIOTHLFO01,PJ,PJ_a
IOIOTHLFO00,PJ,PJ_a
IOIOTHKER01,PJ,PJ_a
IOIOTHKER00,PJ,PJ_a
IOIOTHHFO01,PJ,PJ_a
IOIOTHHFO00,PJ,PJ_a
IOIOTHHDG01,PJ,PJ_a
IOIOTHHCO01,PJ,PJ_a
IOIOTHHCO00,PJ,PJ_a
IOIOTHELC01,PJ,PJ_a
IOIOTHELC00,PJ,PJ_a
IOIOTHCOK01,PJ,PJ_a
IOIOTHCOK00,PJ,PJ_a
IOIOTHBIOS01,PJ,PJ_a
IOIOTHBIOS00,PJ,PJ_a
IOIOTHBIOL01,PJ,PJ_a
IOIOTHBIOG01,PJ,PJ_a
IOIOTHBIOG00,PJ,PJ_a
IOIOTHBENZ01,PJ,PJ_a
IOIOTHBENZ00,PJ,PJ_a
IOIMOTELC02,PJ,PJ_a
IOIMOTELC01,PJ,PJ_a
IOIMOTELC00,PJ,PJ_a
IOILTHSTM01,PJ,PJ_a
IOILTHSTM00,PJ,PJ_a
IOILTHNGA02,PJ,PJ_a
IOILTHNGA01,PJ,PJ_a
IOILTHNGA00,PJ,PJ_a
IOILTHLPG02,PJ,PJ_a
IOILTHLPG01,PJ,PJ_a
IOILTHLPG00,PJ,PJ_a
IOILTHLFO02,PJ,PJ_a
IOILTHLFO01,PJ,PJ_a
IOILTHLFO00,PJ,PJ_a
IOILTHKER02,PJ,PJ_a
IOILTHKER01,PJ,PJ_a
IOILTHKER00,PJ,PJ_a
IOILTHHFO02,PJ,PJ_a
IOILTHHFO01,PJ,PJ_a
IOILTHHFO00,PJ,PJ_a
IOILTHHDG02,PJ,PJ_a
IOILTHHDG01,PJ,PJ_a
IOILTHHCO02,PJ,PJ_a
IOILTHHCO01,PJ,PJ_a
IOILTHHCO00,PJ,PJ_a
IOILTHELC02,PJ,PJ_a
IOILTHELC01,PJ,PJ_a
IOILTHELC00,PJ,PJ_a
IOILTHCOK02,PJ,PJ_a
IOILTHCOK01,PJ,PJ_a
IOILTHCOK00,PJ,PJ_a
IOILTHBIOS02,PJ,PJ_a
IOILTHBIOS01,PJ,PJ_a
IOILTHBIOS00,PJ,PJ_a
IOILTHBIOL02,PJ,PJ_a
IOILTHBIOL01,PJ,PJ_a
IOILTHBIOG02,PJ,PJ_a
IOILTHBIOG01,PJ,PJ_a
IOILTHBIOG00,PJ,PJ_a
IOILTHBENZ02,PJ,PJ_a
IOILTHBENZ01,PJ,PJ_a
IOILTHBENZ00,PJ,PJ_a
IOIHTHNGA01,PJ,PJ_a
IOIHTHNGA00,PJ,PJ_a
IOIHTHLPG01,PJ,PJ_a
IOIHTHLPG00,PJ,PJ_a
IOIHTHLFO01,PJ,PJ_a
IOIHTHLFO00,PJ,PJ_a
IOIHTHKER01,PJ,PJ_a
IOIHTHKER00,PJ,PJ_a
IOIHTHHFO01,PJ,PJ_a
IOIHTHHFO00,PJ,PJ_a
IOIHTHHDG01,PJ,PJ_a
IOIHTHHCO01,PJ,PJ_a
IOIHTHHCO00,PJ,PJ_a
IOIHTHELC01,PJ,PJ_a
IOIHTHELC00,PJ,PJ_a
IOIHTHCOK01,PJ,PJ_a
IOIHTHCOK00,PJ,PJ_a
IOIHTHBIOS01,PJ,PJ_a
IOIHTHBIOS00,PJ,PJ_a
IOIHTHBIOL01,PJ,PJ_a
IOIHTHBIOG01,PJ,PJ_a
IOIHTHBIOG00,PJ,PJ_a
IOIHTHBENZ01,PJ,PJ_a
IOIHTHBENZ00,PJ,PJ_a
IOIDRYSTM01,PJ,PJ_a
IOIDRYSTM00,PJ,PJ_a
IOIDRYNGA02,PJ,PJ_a
IOIDRYNGA01,PJ,PJ_a
IOIDRYNGA00,PJ,PJ_a
IOIDRYLPG02,PJ,PJ_a
IOIDRYLPG01,PJ,PJ_a
IOIDRYLPG00,PJ,PJ_a
IOIDRYLFO02,PJ,PJ_a
IOIDRYLFO01,PJ,PJ_a
IOIDRYLFO00,PJ,PJ_a
IOIDRYKER02,PJ,PJ_a
IOIDRYKER01,PJ,PJ_a
IOIDRYKER00,PJ,PJ_a
IOIDRYHFO02,PJ,PJ_a
IOIDRYHFO01,PJ,PJ_a
IOIDRYHFO00,PJ,PJ_a
IOIDRYHDG02,PJ,PJ_a
IOIDRYHDG01,PJ,PJ_a
IOIDRYHCO02,PJ,PJ_a
IOIDRYHCO01,PJ,PJ_a
IOIDRYHCO00,PJ,PJ_a
IOIDRYELC02,PJ,PJ_a
IOIDRYELC01,PJ,PJ_a
IOIDRYELC00,PJ,PJ_a
IOIDRYCOK02,PJ,PJ_a
IOIDRYCOK01,PJ,PJ_a
IOIDRYCOK00,PJ,PJ_a
IOIDRYBIOS02,PJ,PJ_a
IOIDRYBIOS01,PJ,PJ_a
IOIDRYBIOS00,PJ,PJ_a
IOIDRYBIOL02,PJ,PJ_a
IOIDRYBIOL01,PJ,PJ_a
IOIDRYBIOG02,PJ,PJ_a
IOIDRYBIOG01,PJ,PJ_a
IOIDRYBIOG00,PJ,PJ_a
IOIDRYBENZ02,PJ,PJ_a
IOIDRYBENZ01,PJ,PJ_a
IOIDRYBENZ00,PJ,PJ_a
IOICHPNGA00,PJ,GW
IOICHPHFO00,PJ,GW
IOICHPGT01,PJ,GW
IOICHPFCH01,PJ,GW
IOICHPCOA01,PJ,GW
IOICHPCCGTH01,PJ,GW
IOICHPCCGT01,PJ,GW
IOICHPBIOS01,PJ,GW
IOICHPBIOS00,PJ,GW
IOICHPBIOG01,PJ,GW
IOI01,PJ,PJ_a
IOI00,PJ,PJ_a
INMOTHSTM01,PJ,PJ_a
INMOTHSTM00,PJ,PJ_a
INMOTHNGA01,PJ,PJ_a
INMOTHNGA00,PJ,PJ_a
INMOTHLFO01,PJ,PJ_a
INMOTHLFO00,PJ,PJ_a
INMOTHHFO01,PJ,PJ_a
INMOTHHDG01,PJ,PJ_a
INMOTHHCO01,PJ,PJ_a
INMOTHELC01,PJ,PJ_a
INMOTHELC00,PJ,PJ_a
INMOTHBIOS01,PJ,PJ_a
INMOTHBIOL01,PJ,PJ_a
INMOTHBIOG01,PJ,PJ_a
INMMOTELC02,PJ,PJ_a
INMMOTELC01,PJ,PJ_a
INMMOTELC00,PJ,PJ_a
INMLTHSTM01,PJ,PJ_a
INMLTHSTM00,PJ,PJ_a
INMLTHNGA02,PJ,PJ_a
INMLTHNGA01,PJ,PJ_a
INMLTHNGA00,PJ,PJ_a
INMLTHLFO02,PJ,PJ_a
INMLTHLFO01,PJ,PJ_a
INMLTHLFO00,PJ,PJ_a
INMLTHHFO02,PJ,PJ_a
INMLTHHFO01,PJ,PJ_a
INMLTHHDG02,PJ,PJ_a
INMLTHHDG01,PJ,PJ_a
INMLTHHCO02,PJ,PJ_a
INMLTHHCO01,PJ,PJ_a
INMLTHELC02,PJ,PJ_a
INMLTHELC01,PJ,PJ_a
INMLTHELC00,PJ,PJ_a
INMLTHBIOS02,PJ,PJ_a
INMLTHBIOS01,PJ,PJ_a
INMLTHBIOL02,PJ,PJ_a
INMLTHBIOL01,PJ,PJ_a
INMLTHBIOG02,PJ,PJ_a
INMLTHBIOG01,PJ,PJ_a
INMHTHNGA01,PJ,PJ_a
INMHTHNGA00,PJ,PJ_a
INMHTHLFO01,PJ,PJ_a
INMHTHLFO00,PJ,PJ_a
INMHTHHFO01,PJ,PJ_a
INMHTHHDG01,PJ,PJ_a
INMHTHHCO01,PJ,PJ_a
INMHTHHCO00,PJ,PJ_a
INMHTHELC01,PJ,PJ_a
INMHTHELC00,PJ,PJ_a
INMDRYSTM01,PJ,PJ_a
INMDRYSTM00,PJ,PJ_a
INMDRYNGA02,PJ,PJ_a
INMDRYNGA01,PJ,PJ_a
INMDRYNGA00,PJ,PJ_a
INMDRYLFO02,PJ,PJ_a
INMDRYLFO01,PJ,PJ_a
INMDRYLFO00,PJ,PJ_a
INMDRYHFO02,PJ,PJ_a
INMDRYHFO01,PJ,PJ_a
INMDRYHDG02,PJ,PJ_a
INMDRYHDG01,PJ,PJ_a
INMDRYHCO02,PJ,PJ_a
INMDRYHCO01,PJ,PJ_a
INMDRYELC02,PJ,PJ_a
INMDRYELC01,PJ,PJ_a
INMDRYELC00,PJ,PJ_a
INMDRYBIOS02,PJ,PJ_a
INMDRYBIOS01,PJ,PJ_a
INMDRYBIOL02,PJ,PJ_a
INMDRYBIOL01,PJ,PJ_a
INMDRYBIOG02,PJ,PJ_a
INMDRYBIOG01,PJ,PJ_a
INMCHPNGA00,PJ,GW
INMCHPGT01,PJ,GW
INMCHPFCH01,PJ,GW
INMCHPCOG01,PJ,GW
INMCHPCOG00,PJ,GW
INMCHPCOA01,PJ,GW
INMCHPCCGTH01,PJ,GW
INMCHPCCGT01,PJ,GW
INMCHPBIOS01,PJ,GW
INMCHPBIOG01,PJ,GW
INM01,PJ,PJ_a
INM00,PJ,PJ_a
INFOTHNGA01,PJ,PJ_a
INFOTHNGA00,PJ,PJ_a
INFOTHLFO01,PJ,PJ_a
INFOTHLFO00,PJ,PJ_a
INFOTHHFO01,PJ,PJ_a
INFOTHHFO00,PJ,PJ_a
INFOTHHDG01,PJ,PJ_a
INFOTHHCO01,PJ,PJ_a
INFOTHHCO00,PJ,PJ_a
INFOTHELC01,PJ,PJ_a
INFOTHELC00,PJ,PJ_a
INFOTHBIOS01,PJ,PJ_a
INFOTHBIOL01,PJ,PJ_a
INFOTHBIOG01,PJ,PJ_a
INFMOTELC02,PJ,PJ_a
INFMOTELC01,PJ,PJ_a
INFMOTELC00,PJ,PJ_a
INFHTHNGA01,PJ,PJ_a
INFHTHNGA00,PJ,PJ_a
INFHTHLFO01,PJ,PJ_a
INFHTHLFO00,PJ,PJ_a
INFHTHHFO01,PJ,PJ_a
INFHTHHFO00,PJ,PJ_a
INFHTHHDG01,PJ,PJ_a
INFHTHHCO01,PJ,PJ_a
INFHTHHCO00,PJ,PJ_a
INFHTHELC01,PJ,PJ_a
INFHTHELC00,PJ,PJ_a
INF01,PJ,PJ_a
INF00,PJ,PJ_a
INDWODWST01,PJ,PJ_a
INDWODWST00,PJ,PJ_a
INDWOD01,PJ,PJ_a
INDSYGOIL01,PJ,PJ_a
INDSYGCOA01,PJ,PJ_a
INDPOLWST00,PJ,PJ_a
INDPELL01,PJ,PJ_a
INDPELL00,PJ,PJ_a
INDPELH01,PJ,PJ_a
INDOILLPG00,PJ,PJ_a
INDNGA01,PJ,PJ_a
INDNGA00,PJ,PJ_a
INDNEUNGA01,PJ,PJ_a
INDNEUNGA00,PJ,PJ_a
INDNEUMSC01,PJ,PJ_a
INDNEUMSC00,PJ,PJ_a
INDNEULPG01,PJ,PJ_a
INDNEULPG00,PJ,PJ_a
INDNEULFO01,PJ,PJ_a
INDNEULFO00,PJ,PJ_a
INDMSWORG01,PJ,PJ_a
INDMSWORG00,PJ,PJ_a
INDMSWINO01,PJ,PJ_a
INDMSWINO00,PJ,PJ_a
INDLPG01,PJ,PJ_a
INDLFO01,PJ,PJ_a
INDLFO00,PJ,PJ_a
INDKER01,PJ,PJ_a
INDKER00,PJ,PJ_a
INDHYG01,PJ,PJ_a
INDHFO01,PJ,PJ_a
INDHFO00,PJ,PJ_a
INDHFCOTH01,Mt,Mt_a
INDHFCOTH00,Mt,Mt_a
INDELC01,PJ,PJ_a
INDELC00,PJ,PJ_a
INDCOK01,PJ,PJ_a
INDCOK00,PJ,PJ_a
INDCOG01,PJ,PJ_a
INDCOG00,PJ,PJ_a
INDCOACOK01,PJ,PJ_a
INDCOACOK00,PJ,PJ_a
INDCOA01,PJ,PJ_a
INDCOA00,PJ,PJ_a
INDBOM01,PJ,PJ_a
INDBOG-LF01,PJ,PJ_a
INDBOG-LF00,PJ,PJ_a
INDBOG-AD01,PJ,PJ_a
INDBIOPOL01,PJ,PJ_a
INDBIOOIL01,PJ,PJ_a
INDBIOLPG01,PJ,PJ_a
INDBIOLFO01,PJ,PJ_a
INDBFG01,PJ,PJ_a
INDBFG00,PJ,PJ_a
INDBENZ01,PJ,PJ_a
INDBENZ00,PJ,PJ_a
IMPURN,PJ,PJ_a
IMPOILPET,PJ,PJ_a
IMPOILMSC,PJ,PJ_a
IMPOILLPG,PJ,PJ_a
IMPOILLFO,PJ,PJ_a
IMPOILKER,PJ,PJ_a
IMPOILJET,PJ,PJ_a
IMPOILHFO,PJ,PJ_a
IMPOILDST,PJ,PJ_a
IMPOILCRD2,PJ,PJ_a
IMPOILCRD1-E,PJ,PJ_a
IMPOILCRD1,PJ,PJ_a
IMPNRGZ,PJ,-
IMPNGA-N,PJ,PJ_a
IMPNGA-LNG,PJ,PJ_a
IMPNGA-EU,PJ,PJ_a
IMPNGA-E,PJ,PJ_a
IMPMATZ,Mt,-
IMPHYL,PJ,PJ_a
IMPETH,PJ,PJ_a
IMPELC-IRE,PJ,PJ_a
IMPELC-EU,PJ,PJ_a
IMPDEMZ,PJ,-
IMPCOK,PJ,PJ_a
IMPCOA-E,PJ,PJ_a
IMPCOACOK,PJ,PJ_a
IMPCOA,PJ,PJ_a
IMPBWODWST,PJ,PJ_a
IMPBWOD,PJ,PJ_a
IMPBVOIL,PJ,PJ_a
IMPBVOFAT,PJ,PJ_a
IMPBSTARCH,PJ,PJ_a
IMPBIOOIL,PJ,PJ_a
IMPBIOKER-FT,PJ,PJ_a
IMPBIOJET-FT,PJ,PJ_a
IMPBIODST-FT,PJ,PJ_a
IMPBIODST,PJ,PJ_a
IMPBGRASS,PJ,PJ_a
IMPAGWST,PJ,PJ_a
IMAINPHYG01,PJ,PJ_a
IMAINPGAS01,PJ,PJ_a
IMAINPGAS00,PJ,PJ_a
IISULCORED01,Mt,Mt_a
IISTGRBFQ01,Mt,Mt_a
IISTGRBF01,Mt,Mt_a
IISSINTER01,Mt,Mt_a
IISSINTER00,Mt,Mt_a
IISSINHRC01,Mt,Mt_a
IISMIDREX01,Mt,Mt_a
IISHRMIMP01,Mt,Mt_a
IISHISARQ01,Mt,Mt_a
IISHISAR01,Mt,Mt_a
IISFINPRO01,Mt,Mt_a
IISFINPRO00,Mt,Mt_a
IISELAFUR03,Mt,Mt_a
IISELAFUR02,Mt,Mt_a
IISELAFUR01,Mt,Mt_a
IISELAFUR00,Mt,Mt_a
IISEAFSPH01,Mt,Mt_a
IISCHPNGA00,PJ,GW
IISCHPHFO00,PJ,GW
IISCHPGT01,PJ,GW
IISCHPFCH01,PJ,GW
IISCHPCOG01,PJ,GW
IISCHPCOG00,PJ,GW
IISCHPCCGTH01,PJ,GW
IISCHPCCGT01,PJ,GW
IISCHPBIOS01,PJ,GW
IISCHPBIOG01,PJ,GW
IISCHPBFG01,PJ,GW
IISCHPBFG00,PJ,GW
IISCASHRM02,Mt,Mt_a
IISCASHRM01,Mt,Mt_a
IISCASHRM00,Mt,Mt_a
IISBOXFUR01,Mt,Mt_a
IISBOXFUR00,Mt,Mt_a
IISBOINGA01,PJ,PJ_a
IISBOIHYG01,PJ,PJ_a
IISBOIHFO00,PJ,PJ_a
IISBOICOG01,PJ,PJ_a
IISBOICOG00,PJ,PJ_a
IISBOIBIOS01,PJ,PJ_a
IISBOIBFG01,PJ,PJ_a
IISBOIBFG00,PJ,PJ_a
IISBLFIMP02,Mt,Mt_a
IISBLFIMP01,Mt,Mt_a
IISBLAFUR01,Mt,Mt_a
IISBLAFUR00,Mt,Mt_a
IISALLTGS01,PJ,PJ_a
IISALLSIN01,PJ,PJ_a
IISALLSIN00,PJ,PJ_a
IISALLEAF01,PJ,PJ_a
IISALLEAF00,PJ,PJ_a
IISALLCHR01,PJ,PJ_a
IISALLCHR00,PJ,PJ_a
IISALLBLF01,PJ,PJ_a
IISALLBLF00,PJ,PJ_a
IFDREFEHFO01,PJ,PJ_a
IFDREFEHFC01,PJ,PJ_a
IFDREFEHFC00,PJ,PJ_a
IFDOTHSTM01,PJ,PJ_a
IFDOTHSTM00,PJ,PJ_a
IFDOTHNGA01,PJ,PJ_a
IFDOTHNGA00,PJ,PJ_a
IFDOTHLFO01,PJ,PJ_a
IFDOTHLFO00,PJ,PJ_a
IFDOTHHFO01,PJ,PJ_a
IFDOTHHFO00,PJ,PJ_a
IFDOTHHDG01,PJ,PJ_a
IFDOTHHCO01,PJ,PJ_a
IFDOTHHCO00,PJ,PJ_a
IFDOTHELC01,PJ,PJ_a
IFDOTHELC00,PJ,PJ_a
IFDOTHBIOS01,PJ,PJ_a
IFDOTHBIOL01,PJ,PJ_a
IFDOTHBIOG01,PJ,PJ_a
IFDMOTELC02,PJ,PJ_a
IFDMOTELC01,PJ,PJ_a
IFDMOTELC00,PJ,PJ_a
IFDLTHSTM01,PJ,PJ_a
IFDLTHSTM00,PJ,PJ_a
IFDLTHNGA02,PJ,PJ_a
IFDLTHNGA01,PJ,PJ_a
IFDLTHNGA00,PJ,PJ_a
IFDLTHLFO02,PJ,PJ_a
IFDLTHLFO01,PJ,PJ_a
IFDLTHLFO00,PJ,PJ_a
IFDLTHHFO02,PJ,PJ_a
IFDLTHHFO01,PJ,PJ_a
IFDLTHHFO00,PJ,PJ_a
IFDLTHHDG02,PJ,PJ_a
IFDLTHHDG01,PJ,PJ_a
IFDLTHHCO02,PJ,PJ_a
IFDLTHHCO01,PJ,PJ_a
IFDLTHHCO00,PJ,PJ_a
IFDLTHELC02,PJ,PJ_a
IFDLTHELC01,PJ,PJ_a
IFDLTHELC00,PJ,PJ_a
IFDLTHBIOS02,PJ,PJ_a
IFDLTHBIOS01,PJ,PJ_a
IFDLTHBIOL02,PJ,PJ_a
IFDLTHBIOL01,PJ,PJ_a
IFDLTHBIOG02,PJ,PJ_a
IFDLTHBIOG01,PJ,PJ_a
IFDDRYSTM01,PJ,PJ_a
IFDDRYSTM00,PJ,PJ_a
IFDDRYNGA02,PJ,PJ_a
IFDDRYNGA01,PJ,PJ_a
IFDDRYNGA00,PJ,PJ_a
IFDDRYLFO02,PJ,PJ_a
IFDDRYLFO01,PJ,PJ_a
IFDDRYLFO00,PJ,PJ_a
IFDDRYHFO02,PJ,PJ_a
IFDDRYHFO01,PJ,PJ_a
IFDDRYHFO00,PJ,PJ_a
IFDDRYHDG02,PJ,PJ_a
IFDDRYHDG01,PJ,PJ_a
IFDDRYHCO02,PJ,PJ_a
IFDDRYHCO01,PJ,PJ_a
IFDDRYHCO00,PJ,PJ_a
IFDDRYELC02,PJ,PJ_a
IFDDRYELC01,PJ,PJ_a
IFDDRYELC00,PJ,PJ_a
IFDDRYBIOS02,PJ,PJ_a
IFDDRYBIOS01,PJ,PJ_a
IFDDRYBIOL02,PJ,PJ_a
IFDDRYBIOL01,PJ,PJ_a
IFDDRYBIOG02,PJ,PJ_a
IFDDRYBIOG01,PJ,PJ_a
IFDCHPNGA00,PJ,GW
IFDCHPLFO00,PJ,GW
IFDCHPHFO00,PJ,GW
IFDCHPGT01,PJ,GW
IFDCHPFCH01,PJ,GW
IFDCHPCOA01,PJ,GW
IFDCHPCOA00,PJ,GW
IFDCHPCCGTH01,PJ,GW
IFDCHPCCGT01,PJ,GW
IFDCHPBIOS01,PJ,GW
IFDCHPBIOS00,PJ,GW
IFDCHPBIOG01,PJ,GW
IFD01,PJ,PJ_a
IFD00,PJ,PJ_a
IDISTELC01,GW,PJ_a
IDISTELC00,GW,PJ_a
ICMPCL01,Mt,Mt_a
ICMLOCARB01,Mt,Mt_a
ICMKLNWST02,Mt,Mt_a
ICMKLNWST01,Mt,Mt_a
ICMKLNSW00,Mt,Mt_a
ICMKLNSD00,Mt,Mt_a
ICMKLNPCQR02,Mt,Mt_a
ICMKLNPCQR01,Mt,Mt_a
ICMKLNPCQ02,Mt,Mt_a
ICMKLNPCQ01,Mt,Mt_a
ICMKLNOCQR01,Mt,Mt_a
ICMKLNOCQ01,Mt,Mt_a
ICMKLNDPC00,Mt,Mt_a
ICMKLND02,Mt,Mt_a
ICMKLND01,Mt,Mt_a
ICMKLND00,Mt,Mt_a
ICMGRIMIX02,Mt,Mt_a
ICMGRIMIX01,Mt,Mt_a
ICMGRIMIX00,Mt,Mt_a
ICHREFEHFO01,PJ,PJ_a
ICHREFEHFC01,PJ,PJ_a
ICHREFEHFC00,PJ,PJ_a
ICHOTHSTM01,PJ,PJ_a
ICHOTHSTM00,PJ,PJ_a
ICHOTHNGA01,PJ,PJ_a
ICHOTHLFO01,PJ,PJ_a
ICHOTHHFO01,PJ,PJ_a
ICHOTHHDG01,PJ,PJ_a
ICHOTHHCO01,PJ,PJ_a
ICHOTHELC01,PJ,PJ_a
ICHOTHELC00,PJ,PJ_a
ICHOTHBIOS01,PJ,PJ_a
ICHOTHBIOL01,PJ,PJ_a
ICHOTHBIOG01,PJ,PJ_a
ICHNEUOTH01,PJ,PJ_a
ICHNEUOTH00,PJ,PJ_a
ICHMOTELC02,PJ,PJ_a
ICHMOTELC01,PJ,PJ_a
ICHMOTELC00,PJ,PJ_a
ICHLTHSTM01,PJ,PJ_a
ICHLTHSTM00,PJ,PJ_a
ICHLTHNGA02,PJ,PJ_a
ICHLTHNGA01,PJ,PJ_a
ICHLTHLFO02,PJ,PJ_a
ICHLTHLFO01,PJ,PJ_a
ICHLTHHFO02,PJ,PJ_a
ICHLTHHFO01,PJ,PJ_a
ICHLTHHDG02,PJ,PJ_a
ICHLTHHDG01,PJ,PJ_a
ICHLTHHCO02,PJ,PJ_a
ICHLTHHCO01,PJ,PJ_a
ICHLTHELC02,PJ,PJ_a
ICHLTHELC01,PJ,PJ_a
ICHLTHELC00,PJ,PJ_a
ICHLTHBIOS02,PJ,PJ_a
ICHLTHBIOS01,PJ,PJ_a
ICHLTHBIOL02,PJ,PJ_a
ICHLTHBIOL01,PJ,PJ_a
ICHLTHBIOG02,PJ,PJ_a
ICHLTHBIOG01,PJ,PJ_a
ICHHVCSCQN01,Mt,Mt_a
ICHHVCSCQH01,Mt,Mt_a
ICHHVCSCQG01,Mt,Mt_a
ICHHVCSCQB01,Mt,Mt_a
ICHHVCSCO01,Mt,Mt_a
ICHHVCSCN01,Mt,Mt_a
ICHHVCSCE01,Mt,Mt_a
ICHHVCSC00,Mt,Mt_a
ICHHVCFTC01,Mt,Mt_a
ICHHVCFTB01,Mt,Mt_a
ICHHTHNGA01,PJ,PJ_a
ICHHTHLFO01,PJ,PJ_a
ICHHTHHFO01,PJ,PJ_a
ICHHTHHDG01,PJ,PJ_a
ICHHTHHCO01,PJ,PJ_a
ICHHTHHCO00,PJ,PJ_a
ICHHTHELC01,PJ,PJ_a
ICHHTHELC00,PJ,PJ_a
ICHDRYSTM01,PJ,PJ_a
ICHDRYSTM00,PJ,PJ_a
ICHDRYNGA02,PJ,PJ_a
ICHDRYNGA01,PJ,PJ_a
ICHDRYLFO02,PJ,PJ_a
ICHDRYLFO01,PJ,PJ_a
ICHDRYHFO02,PJ,PJ_a
ICHDRYHFO01,PJ,PJ_a
ICHDRYHDG02,PJ,PJ_a
ICHDRYHDG01,PJ,PJ_a
ICHDRYHCO02,PJ,PJ_a
ICHDRYHCO01,PJ,PJ_a
ICHDRYELC02,PJ,PJ_a
ICHDRYELC01,PJ,PJ_a
ICHDRYELC00,PJ,PJ_a
ICHDRYBIOS02,PJ,PJ_a
ICHDRYBIOS01,PJ,PJ_a
ICHDRYBIOL02,PJ,PJ_a
ICHDRYBIOL01,PJ,PJ_a
ICHDRYBIOG02,PJ,PJ_a
ICHDRYBIOG01,PJ,PJ_a
ICHCHPPRO01,PJ,GW
ICHCHPPRO00,PJ,GW
ICHCHPNGA00,PJ,GW
ICHCHPLPG01,PJ,GW
ICHCHPLPG00,PJ,GW
ICHCHPLFO00,PJ,GW
ICHCHPHFO00,PJ,GW
ICHCHPGT01,PJ,GW
ICHCHPFCH01,PJ,GW
ICHCHPCOA01,PJ,PJ_a
ICHCHPCOA00,PJ,GW
ICHCHPCCGTH01,PJ,GW
ICHCHPCCGT01,PJ,GW
ICHCHPBIOS01,PJ,GW
ICHCHPBIOS00,PJ,GW
ICHCHPBIOG01,PJ,GW
ICHAMMSRS01,Mt,Mt_a
ICHAMMSRQ01,Mt,Mt_a
ICHAMMSRA01,Mt,Mt_a
ICHAMMSR00,Mt,Mt_a
ICH01,PJ,PJ_a
ICH00,PJ,PJ_a
EXPOILPET,PJ,PJ_a
EXPOILMSC,PJ,PJ_a
EXPOILLPG,PJ,PJ_a
EXPOILLFO,PJ,PJ_a
EXPOILKER,PJ,PJ_a
EXPOILJET,PJ,PJ_a
EXPOILHFO,PJ,PJ_a
EXPOILDST,PJ,PJ_a
EXPOILCRD2,PJ,PJ_a
EXPOILCRD1-E,PJ,PJ_a
EXPOILCRD1,PJ,PJ_a
