Process	Sector
IMP-Emission.*	Emissions Trading
EXP-Emission.*	Emissions Trading
MIN.*	Domestic fuel production
IMP.*	Net fuel imports (exports)
EXP.*	Net fuel imports (exports)
UPS.*	Upstream
RSR.*	Resources
IND.*	Industry
HYG.*	Hydrogen
PHY.*	Hydrogen
CCS.*	Electricity
P.*	Fuel refining and processing
E.*	Electricity
R.*	Residential
S.*	Services
A.*	Agriculture
T.*	Transport
