CaseName	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Always	Discount rate	CB3	CB4	CB5	2050Target	Nuclear	CCS	Renewables Target
cases15vt	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2900	2050-target-hit	NIL	uc_noccs	NIL
cases15z6	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-missed	cb5-2900	2050-target-abandoned	NIL	NIL	re_target
cases18at	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1000	2050-target-hit	uc_nonuc	NIL	NIL
cases18hy	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1100	2050-target-hit	uc_nonuc	NIL	re_target
cases18jq	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1100	2050-target-abandoned	NIL	NIL	re_target
cases18kw	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1100	2050-target-abandoned	NIL	NIL	re_target
cases18n6	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1200	2050-target-hit	NIL	NIL	re_target
cases18qv	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1200	2050-target-abandoned	NIL	NIL	NIL
cases18s8	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1200	2050-target-abandoned	NIL	uc_noccs	re_target
cases18zm	base	newagr	newelc	newind	newprc	newres	newrsr	newser	newtra	refscenario	syssettings	uc_base	uc_elc	uc_ind	uc_prc	uc_res	uc_rsr	uc_ser	uc_tra	discount_stern	cb3-hit	cb4-hit	cb5-1300	2050-target-abandoned	uc_nonuc	NIL	re_target
